date,0,1,2,3,4,5,6,7,8,9,10
Cataluña,18,41,55,82,122,191,245,339,516,672,880
Cat-sin-Igua,6,27,40,58,98,163,213,303,475,629,830
Madrid,21,32,56,81,136,213,280,355,390,498,628
Lombardia,23,24,38,55,73,98,135,154,267,333,468
Occitanie,23,27,30,32,40,45,54,61,67,72,81
Algeria,19,21,25,26,29,31,35,44,58,86,105
Argentina,18,19,23,27,28,36,39,43,44,48,56
Austria,21,28,30,49,58,68,86,108,128,146,158
Bangladesh,20,21,27,30,34,39,46,50,60,75,84
Belgium,21,37,67,75,88,122,178,220,289,353,431
Brazil,25,34,46,59,77,92,111,136,159,201,240
Canada-Ontario,18,18,21,31,33,37,53,67,94,119,150
Canada-Quebec,18,22,22,25,31,33,36,61,75,94,121
Chile,18,22,27,34,37,43,48,57,65,73,80
China-Hubei,24,40,52,76,125,125,162,204,249,350,414
Colombia,19,25,32,35,46,50,54,69,80,100,109
Czechia,23,31,39,44,53,59,67,78,88,99,112
Denmark,24,32,34,41,52,65,72,77,90,104,123
Dominican Republic,20,28,39,42,51,57,60,68,68,82,86
Ecuador,18,27,28,34,36,48,58,60,75,93,120
Egypt,19,20,21,24,30,36,40,41,46,52,58
Finland,19,20,25,28,27,34,40,42,48,49,56
France,19,30,33,48,61,79,91,127,148,175,244
Germany,24,28,44,67,84,94,123,157,206,267,342
Greece,20,22,27,28,32,39,46,49,51,53,63
Hungary,20,21,26,32,34,38,47,58,66,77,85
India,20,20,24,27,32,35,58,72,72,86,99
Indonesia,19,25,32,38,48,49,55,58,78,87,102
Iran,19,26,34,43,54,66,77,92,107,124,145
Ireland,19,22,36,46,54,71,85,98,120,137,158
Israel,20,26,36,40,44,49,57,65,73,86,95
Italy,21,29,41,52,79,107,148,197,233,366,463
Japan,19,22,22,27,29,29,29,33,35,41,42
Korea South,21,28,32,35,42,43,48,50,53,54,60
Mexico,20,28,29,37,50,60,79,94,125,141,174
Morocco,23,25,26,33,36,39,44,48,59,70,80
Netherlands,20,24,43,58,76,106,136,179,213,276,356
Norway,19,23,25,32,39,44,50,59,62,71,76
Pakistan,21,26,27,34,40,41,47,53,57,61,65
Panama,24,30,30,32,37,41,46,54,55,59,63
Peru,18,24,30,38,55,61,73,83,92,107,121
Philippines,18,19,25,33,35,38,45,54,68,71,78
Poland,18,22,31,33,43,57,71,79,94,107,129
Portugal,23,33,43,60,76,100,119,140,160,187,209
Romania,23,26,37,43,65,82,92,115,133,146,151
Russia,24,30,34,43,45,47,58,63,76,94,106
Saudi Arabia,21,25,29,34,38,41,41,44,47,52,59
Serbia,23,28,31,39,44,51,58,61,65,66,71
Spain,28,35,54,84,133,195,289,342,533,623,830
Sweden,20,21,27,40,62,77,105,105,110,146,180
Switzerland,19,27,33,43,56,80,98,120,122,153,191
Turkey,21,30,37,44,59,75,92,108,131,168,214
Ukraine,20,22,27,32,37,38,45,52,57,69,73
United Kingdom,21,35,55,71,104,144,177,233,281,335,422
US,21,22,28,36,40,47,54,63,85,108,118