ISO,name,population,km2,code
DE-BW,Baden-Württemberg,10880000,35751,1
DE-BY,Bayern,12844000,70550,2
DE-BE,Berlin,3520000,892,3
DE-BB,Brandenburg,2485000,29654,4
DE-HB,Bremen,671000,420,5
DE-HH,Hamburg,1787000,755,6
DE-HE,Hessen,6176000,21115,7
DE-MV,Mecklenburg-Vorpommern,1612000,23212,8
DE-NI,Niedersachsen,7927000,47593,9
DE-NW,Nordrhein-Westfalen,17866000,34113,10
DE-RP,Rheinland-Pfalz,4053000,19854,11
DE-SL,Saarland,996000,2567,12
DE-SN,Sachsen,4085000,18449,13
DE-ST,Sachsen-Anhalt,2245000,20452,14
DE-SH,Schleswig-Holstein,2859000,15802,15
DE-TH,Thüringen,2171000,16202,16
DE,Germany,82176000,357386,0