ISO,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20
GB,0,0,4,4,6,8,9,14,18,19,29,42,59,83,115,163,211,281,345,454,562,727,888,1087,1340,1677,2044,2413,3036,3653,4026,4682,5342,6057,6884,7675,8426,9237,10211,11083,11901,12733,13497,14199,14848,15611,16344,17029,17680,18295,18852,19364,19928,20485,21082,21546,21975,22322,22664,23105,23438,23599
GB-SCT,,,,,,,,,,,,,,,1,1,1,2,3,6,6,7,10,14,16,22,25,33,40,41,47,69,97,126,172,218,220,222,296,366,447,495,542,566,575,615,699,779,837,893,903,915,985,1062,1120,1184,1231,1249,1262,1332,1415,1475
GB-WLS,,,,,,,,,,,,,,,,,1,1,1,1,3,12,16,17,22,28,34,38,48,62,69,98,117,141,154,166,193,212,245,286,315,351,369,384,403,463,495,506,534,575,584,609,624,641,751,774,788,796,813,886,908,925
GB-NIR,,,,,,,,,,,,,,,,,,,,1,1,2,2,3,5,7,10,13,15,21,22,28,30,36,48,56,63,70,73,78,82,92,107,118,124,134,140,158,176,193,194,207,220,250,263,278,294,299,309,329,338,347
GB-ENG,0,0,4,4,6,8,9,14,18,19,29,42,59,83,114,162,209,278,341,446,552,706,860,1053,1297,1620,1975,2329,2933,3529,3888,4487,5098,5754,6510,7235,7950,8733,9597,10353,11057,11795,12479,13131,13746,14399,15010,15586,16133,16634,17171,17633,18099,18532,18948,19310,19662,19978,20280,20558,20777,20852
GB-ENG-H,0,0,2,2,2,3,3,3,4,4,4,4,5,7,9,10,11,16,20,23,38,52,63,81,105,142,179,206,261,333,366,423,489,560,628,702,773,865,975,1061,1135,1226,1324,1399,1458,1540,1611,1697,1760,1825,1890,1964,2028,2077,2139,2191,2239,2284,2330,2355,2383,2397
GB-ENG-I,0,0,0,0,0,1,2,2,3,3,9,14,22,36,47,65,90,120,144,187,239,295,352,430,532,661,792,917,1100,1272,1404,1582,1745,1928,2149,2334,2524,2727,2949,3137,3292,3452,3601,3752,3877,4008,4138,4227,4322,4421,4504,4589,4692,4764,4833,4888,4934,4981,5021,5060,5088,5098
GB-ENG-FG,0,0,1,1,1,1,1,4,5,5,7,13,18,22,27,42,50,64,74,102,115,146,179,220,266,328,403,486,626,746,812,940,1078,1201,1349,1512,1652,1772,1955,2092,2219,2359,2493,2608,2723,2869,2963,3078,3190,3279,3385,3469,3545,3644,3716,3785,3858,3925,3990,4038,4075,4084
GB-ENG-CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,9,15,20,26,33,42,49,67,86,114,149,214,283,324,384,457,553,656,748,843,944,1049,1157,1271,1365,1449,1537,1643,1731,1833,1919,2012,2097,2195,2268,2348,2408,2478,2540,2600,2658,2708,2770,2816,2839
GB-ENG-D,0,0,0,0,1,1,1,2,2,2,2,4,6,7,11,14,17,22,28,38,48,63,78,99,117,148,179,209,274,342,377,462,556,643,741,841,940,1070,1187,1299,1405,1534,1648,1764,1888,1998,2128,2214,2321,2388,2464,2536,2610,2692,2755,2819,2871,2922,2971,3028,3069,3083
GB-ENG-J,0,0,1,1,2,2,2,3,4,5,6,6,7,8,15,23,30,40,49,61,65,87,107,128,155,189,228,260,334,402,440,506,562,630,709,789,875,973,1055,1158,1243,1326,1410,1491,1553,1620,1675,1757,1810,1877,1962,2011,2060,2114,2177,2223,2273,2308,2345,2380,2400,2404
GB-ENG-K,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,5,7,11,15,21,30,39,46,55,66,80,102,124,151,165,190,211,239,278,309,343,382,427,449,492,533,554,580,604,633,662,694,718,747,771,796,816,833,850,864,887,900,915,927,946,947