country,lat,long
Algeria,28.0339,1.6596
Argentina,-38.4161,-63.6167
Austria,47.5162,14.5501
Bangladesh,23.685,90.3563
Belgium,50.8333,4
Brazil,-14.235,-51.9253
Canada-Ontario,51.2538,-85.3232
Canada-Quebec,52.9399,-73.5491
Chile,-35.6751,-71.543
China-Hubei,30.9756,112.2707
Colombia,4.5709,-74.2973
Czechia,49.8175,15.473
Denmark,56.2639,9.5018
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26,30
Finland,64,26
France,46.2276,2.2137
Germany,51,9
Greece,39.0742,21.8243
Hungary,47.1625,19.5033
India,21,78
Indonesia,-0.7893,113.9213
Iran,32,53
Ireland,53.1424,-7.6921
Israel,31,35
Italy,43,12
Japan,36,138
Korea South,36,128
Mexico,23.6345,-102.5528
Morocco,31.7917,-7.0926
Netherlands,52.1326,5.2913
Norway,60.472,8.4689
Pakistan,30.3753,69.3451
Panama,8.538,-80.7821
Peru,-9.19,-75.0152
Philippines,13,122
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Romania,45.9432,24.9668
Russia,60,90
Saudi Arabia,24,45
Serbia,44.0165,21.0059
Spain,40,-4
Sweden,63,16
Switzerland,46.8182,8.2275
Turkey,38.9637,35.2433
Ukraine,48.3794,31.1656
United Kingdom,55.3781,-3.436
US,37.0902,-95.7129